                      (*)   mesure a 300k
                      (**)  isomere le plus stable
                      (***) enthalpie inconnue
87 88 h       h       h2                             5.00e-17  0.5      0.00   0 !
  -                   -
  -                   - cosmic-ray direct processes
  -                   -
jan11 sh      h2      h       h2s                    7.36E-13  2.31  6862.00   4 !   190  2237 -  >INV NIST 1999PEN (erratum in NIST)
jan11 h       ocs     sh      co                     9.06E-12   .00  1937.00   4 !   261   500 -  NIST 1977LEE
jan11 h       c2h4    c2h3    h2                     8.27E-10   .00  7776.00   4 !   200  3000 -  NIST fit to all data except 1988WEI & 1977PEE
jan11 h       c2h3    c2h2    h2                     7.55E-11   .00      .00   4 !   213   298 -  NIST 1995MON (k & branching ratio 213-298K, shows no Ea), 1992BAU gives a T independent value
jan11 h       c3h3    h2c3    h2                     1.36E-12  1.12  2421.00   4 !   800  2500 -  2003MIL theoretical ; reverse too large (H2C3 thermo data for triplet)
jan11 h       c3h3    c-c3h2  h2                     5.06E-15  2.23  6744.00   4 !   800  2500 -  2003MIL theoretical
jan11 c-c3h2  h2      h       c3h3                   3.27E-15  3.37 16924.00   4 !   800  2500 -  >INV 2003MIL theoretical
jan11 h       ch      c       h2                     1.24E-10   .26      .00   4 !    10   500 -  KIDA critical evaluation (based on exp and calc data)
jan11 h       ch2     ch      h2                     2.20E-10   .00      .00   4 !    10  3000 -  KIDA critical evaluation (based on experimental data)
jan11 h       ch3     ch2     h2                     1.00E-10   .00  7601.00   4 !   300  2500 -  1992BAU
jan11 ch2     h2      h       ch3                    4.60E-12   .57  4099.00   4 !   300  2500 -  >INV 1992BAU
jan11 h       ch4     ch3     h2                     3.53E-13  3.11  3970.00   4 !   298  2500 -  NIST fit to all data
jan11 h2      c       ch      h                      2.35E-10   .54 11594.00   4 !    10   500 -  detailed balance (but similar to experimental rate of 1991DEA)
jan11 h2      n       nh      h                      4.65E-10   .00 16607.00   4 !  1600  2300 -  NIST 1990KOS ! high pressure, value of UMIST99
jan11 h2      o       oh      h                      3.52E-13  2.60  3241.00   4 !   297  3532 -  NIST fit all data after 1970 (Type 6 => try using H2 internal energy)
jan11 h2      nh      nh2     h                      1.29E-10   .00  9756.00   4 !  1100  2788 -  NIST, fit to 1979DOV & 1994ROH(assumed main channel)
jan11 h2      no      hno     h                      2.31E-11   .00 28453.00   4 !  2020  3250 -  NIST 1991TSA
jan11 h2      o2      oh      oh                     7.42E-13   .00 17338.00   4 !   758  2500 -  NIST fit to all data
jan11 oh      oh      h2      o2                     9.66E-15   .35  8208.00   4 !   758  2500 -  >INV NIST fit to all data
jan11 h2      oh      h       h2o                    2.22E-12  1.43  1751.00   4 !   200  3000 -  NIST fit to all experimental data
jun16 h2co+   o2      ho2     hco+                   7.70E-11   .00      .00   4 !  UMIST
jun16 a-c3h4  o2+     ho2     c3h3+                  5.20E-11   .00      .00   4 !  UMIST
jun16 c2h3    o2      ho2     c2h2                   3.15E-14  1.45   -52.00   4 !  UMIST
jun16 ch3     o2      ho2     ch2                    5.30E-12   .00 34975.00   4 !  UMIST
jun16 h       h2o2    ho2     h2                     8.00E-12   .00  4000.00   4 !  UMIST
jun16 hco     o2      ho2     co                     4.64E-12   .70   -25.60   4 !  UMIST
jun16 o       h2o2    ho2     oh                     8.54E-14  3.25  1200.00   4 !  UMIST
jun16 oh      h2o2    ho2     h2o                    5.62E-12   .00  2740.00   4 !  UMIST
jun16 ch3     ho2     o2      ch4                    6.00E-12   .00     0.00   4 !  UMIST
jun16 ch      ho2     oh      hco                    1.44E-11   .00  3000.00   4 !  UMIST
jun16 ch      ho2     o2      ch2                    2.94E-13   .50  7550.00   4 !  UMIST
jun16 co      ho2     co2     oh                     5.60E-10   .00 12160.00   4 !  UMIST
jun16 h2      ho2     h2o2    h                      4.38E-12   .00 10751.00   4 !  UMIST
jun16 h2co    ho2     h2o2    hco                    3.30E-12   .00  5870.00   4 !  UMIST
jun16 h2o     ho2     h2o2    oh                     4.65E-11   .00 16500.00   4 !  UMIST
jun16 h       ho2     h2o     o                      5.00E-11   .00   866.00   4 !  UMIST
jun16 h       ho2     o2      h2                     2.06E-11   .84   277.00   4 !  UMIST
jun16 h       ho2     oh      oh                     1.66E-10   .00   413.00   4 !  UMIST
jun16 hco     ho2     o2      h2co                   5.00E-11   .00     0.00   4 !  UMIST
jun16 n       ho2     o2      nh                     1.70E-13   .00     0.00   4 !  UMIST
jun16 ho2     ho2     h2o2    o2                     1.00E-12   .00     0.00   4 !  UMIST
